model_type,final_C,solver,l1_ratio,intercept,development_n,development_events,original_variable_count,transformed_feature_count,final_nonzero_coefficient_count,random_seed,scikit_learn_version,record_type,original_variable,transformed_feature,feature_type,imputation,missing_indicator,scaling,raw_zero_meaning,raw_one_meaning,reference_category,coefficient,coefficient_is_nonzero,transform_order
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,potassium_last,numeric__missingindicator_potassium_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,-0.11875741198749193,True,18
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,bicarbonate_last,numeric__missingindicator_bicarbonate_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.059565419555850534,True,19
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,glucose_last,numeric__missingindicator_glucose_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,-0.13435930371834057,True,20
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,heart_rate_last,numeric__missingindicator_heart_rate_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.05778366828317153,True,21
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,mbp_last,numeric__missingindicator_mbp_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.0,False,22
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,resp_rate_last,numeric__missingindicator_resp_rate_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.0,False,23
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,spo2_last,numeric__missingindicator_spo2_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.0,False,24
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,temperature_last,numeric__missingindicator_temperature_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.0,False,25
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,uo_mlkghr_6hr_clean,numeric__missingindicator_uo_mlkghr_6hr_clean,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,-0.04164583604261873,True,26
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,uo_mlkghr_12hr_clean,numeric__missingindicator_uo_mlkghr_12hr_clean,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.049496417480087034,True,27
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,gender,categorical__gender_F,one_hot_categorical,most frequent category from locked development data,False,not standardized,gender is not F,gender is F,none; OneHotEncoder(drop=None) retains all categories,-0.20501128524750678,True,28
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,gender,categorical__gender_M,one_hot_categorical,most frequent category from locked development data,False,not standardized,gender is not M,gender is M,none; OneHotEncoder(drop=None) retains all categories,0.0,False,29
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,invasive_vent_pre_t0,binary__invasive_vent_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,0.08479764927512982,True,30
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,noninvasive_vent_pre_t0,binary__noninvasive_vent_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,0.0,False,31
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,hfnc_pre_t0,binary__hfnc_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,0.0,False,32
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,supplemental_oxygen_pre_t0,binary__supplemental_oxygen_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,-1.0756965954859028,True,33
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,tracheostomy_pre_t0,binary__tracheostomy_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,0.0,False,34
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,ventilation_no_record_pre_t0,binary__ventilation_no_record_pre_t0,binary,most frequent from locked development data,False,not standardized,at least one qualifying ventilation record before T0,no qualifying ventilation record before T0,0,-1.1845140885632688,True,35
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,loop_diuretic_pre_t0,binary__loop_diuretic_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,-0.039590304829351185,True,36
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,vasoactive_pre_t0,binary__vasoactive_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,-0.09220372434112922,True,37
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,rrt_pre_t0,binary__rrt_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,-0.2765171202981614,True,38
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,iv_isotonic_crystalloid_pre_t0,binary__iv_isotonic_crystalloid_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,0.2749209333586008,True,39
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,dextrose_or_hypotonic_fluid_pre_t0,binary__dextrose_or_hypotonic_fluid_pre_t0,binary,most frequent from locked development data,False,not standardized,no/absent before T0,yes/present before T0,0,-0.4724010886623291,True,40
